# RELIQUARY — Kartentexte Chinesisch (vereinfacht)
# Blöcke: "## Englischer Name" als Schlüssel, dann n/s/lN/tN.
# Archetype-Namen (verbindlich): Apocrypha=伪典 Archfiend=狱魔 Barrierstruck=障壁
# Deathpoem=挽诗 Deckay=朽库 Dragon Shrine=龙祠 Failsafe=保险 Fethaerbreese=羽风
# Forgeheart=锻心 Gaslight=惑光 Genostitched=缝生 Gravemaw=墓喉 Heavenly=天界
# Hexweaver=咒织 Kindlekin=薪火 Lightless=无光 Lyria=莉里亚 Manacle=铁镣
# Mechination=机谋 Mimicrypt=拟墓 Paperbound=纸缚 Powderkeg=药桶 Redactor=涂墨
# Sacrilegion=渎圣军 Sleightwind=巧风 Slowburn=慢燃 Snugglet=偎偎兽 Tidebound=缚潮
# Trapline=陷线 Wyldpack=野群
## Abyss Titan
## Early Bird
n 早起鸟
l0 早起的鸟儿
t0 此卡被召唤时：获得1点法力。
l1 有虫吃
t1 改为支付1点法力：获得2点法力。
## Earthquake
n 地震
l0 震颤
t0 支付2点法力；双方各受到700点伤害。
## Echo of the Fallen
n 逝者回响
l0 微弱回响
t0 从你的墓地特殊召唤1只1级怪兽。
l1 洪亮回响
t1 从你的墓地特殊召唤1只2级怪兽。
## Elder Wyrm of the Dragon Shrine
n 龙祠古龙
l0 万古宝藏
t0 此卡被召唤时：你可以从卡组把1张提及“龙”的法术加入手牌。
l1 上古之怒
t1 你可以支付3点法力：此卡本回合的战斗阶段可以再攻击一次。
## Elephant in the Room
n 房间里的大象
l0 直面大象
t0 每回合一次，任意一方都可以支付2点法力：该玩家抽1张卡。
## Ember Imp
n 余烬小鬼
l0 恶意火花
t0 此卡被召唤时：对对手造成200点伤害。
## Ember Spirit
n 余烬精灵
l0 余烬
t0 在你的准备阶段：你可以支付1点法力；对对手造成200点伤害。
## Emergency Barrier
n 应急屏障
l0 紧急部署
t0 在对手的回合：你可以从手牌打出此卡。
## Emergency Call
n 紧急呼叫
l0 呼叫
t0 支付1点法力；抽1张卡。
l1 加急呼叫
t1 支付2点法力；抽2张卡。
## Encore
n 安可
l0 谢幕登场
t0 把你控制的1只里侧怪兽翻开。
l1 盛大安可
t1 把你控制的至多2只里侧怪兽翻开。
## Even Exchange
n 等价交换
l0 等价交换
t0 支付2点法力：双方都把手牌洗回卡组，然后各抽等量的卡。
l1 不等价交换
t1 改为支付3点法力：同上——但你多抽1张。
## Exponential Deterioration
n 指数级恶化
## Failsafe Bulkhead
n 保险隔舱壁
l0 封堵裂口
t0 你本回合不受战斗伤害。然后把此卡送入墓地，并从你的卡组把另1张“保险”神器盖放到场上。
## Failsafe Carrier
n 保险搬运工
l0 回收零件
t0 此卡被召唤时：你可以从你的墓地把1张“保险”卡返回手牌。
## Failsafe Chief Engineer
n 保险总工程师
l0 例行维护
t0 每回合一次——支付1点法力：从你的卡组把1张“保险”神器盖放到场上。
## Failsafe Circuit Breaker
n 保险断路器
l0 跳闸
t0 对手控制的1只怪兽本回合不能攻击。然后把此卡送入墓地，并从你的卡组把另1张“保险”神器盖放到场上。
## Failsafe Damper
n 保险减震器
l0 泄压
t0 对手控制的1只怪兽失去500攻击力。然后把此卡送入墓地，并从你的卡组把另1张“保险”神器盖放到场上。
## Failsafe Foreman
n 保险工头
l0 重新并网
t0 此卡被召唤时：从你的墓地把1张“保险”神器盖放到场上。
l1 全新安装
t1 改为支付2点法力：改为从你的卡组盖放，然后抽1张卡。
## Failsafe Manual Override
n 保险手动超控
l0 手动超控
t0 对手控制的1只怪兽的效果无效，直到本回合结束。
l1 超控并重装
t1 改为支付3点法力：另外从你的卡组把1张“保险”神器盖放到场上。
## Failsafe Protocol
n 保险协议
l0 恢复协议
t0 从你的墓地把至多2张“保险”神器加入手牌。
l1 热插拔
t1 改为支付2点法力：另外从你的墓地把1张“保险”神器直接盖放到场上。
## Failsafe Redundancy Officer
n 保险冗余官
l0 备份协议
t0 支付2点法力：你的1张神器本回合不会被破坏；抽1张卡。
## Failsafe Seal
n 保险封印
l0 紧急停机
t0 对手控制的1只怪兽无效，直到本回合结束。然后把此卡送入墓地，并从你的卡组把另1张“保险”神器盖放到场上。
## Failsafe Tinker
n 保险修补匠
l0 安装
t0 此卡被召唤时：你可以从卡组把1张“保险”神器盖放到场上。
## Failsafe, the Dead Man's Switch
n 保险·亡者开关
s 你的墓地有3张以上神器。费用3点法力。
l0 一切重启
t0 此卡被召唤时：从你的墓地把至多2张“保险”神器盖放到场上。
l1 亡者的分红
t1 每回合一次，你控制的神器被破坏时：抽1张卡。
## Fair Trade
n 公平交易
l0 公平交易
t0 支付2点法力：选择你控制的1只怪兽和对手控制的1只怪兽：永久交换它们的控制权。你得到的怪兽本回合不能攻击。
l1 不公平交易
t1 改为支付4点法力：交换后抽1张卡，且你交出的怪兽效果无效，直到结束阶段。
## Fall Guy
n 替罪羊
l0 替身演员的报酬
t0 此卡被破坏时：抽1张卡。
## Feast of Deckay
n 朽库盛宴
l0 头道菜
t0 磨切2张卡。抽1张卡。
## Fethaerbreese Featherweight
n 羽风轻量级
l0 轻量级
t0 此卡被召唤时：你可以丢弃1张卡；抽1张卡。
l1 以下犯上
t1 改为支付1点法力：丢弃1张卡；抽2张卡。
## Fethaerbreese Fledgling
n 羽风雏鸟
l0 唤巢
t0 此卡被召唤时：你可以从卡组把1张“羽风”卡加入手牌。
## Fethaerbreese Flight Risk
n 羽风潜逃之危
l0 潜逃之危
t0 支付1点法力：把你的1只“羽风”怪兽返回手牌；抽1张卡。
l1 天亮就不见
t1 改为支付2点法力：把你的2只“羽风”怪兽返回手牌；抽2张卡。
## Fethaerbreese Gust Shield
n 羽风阵风盾
l0 阵风盾
t0 把你的1只怪兽返回手牌。
l1 旋风庇护所
t1 改为支付2点法力：另外抽1张卡并获得1点法力。
## Fethaerbreese High Roost
n 羽风高栖木
l0 居高临下
t0 每回合一次，怪兽从你的场上返回手牌时：你控制的1只怪兽获得300攻击力，直到本回合结束。
l1 俯冲而下
t1 支付2点法力：从你的手牌特殊召唤1只“羽风”怪兽。
## Fethaerbreese Hollowbone
n 羽风空骨
l0 满是空气的骨头
t0 此卡被召唤时：你可以从你的墓地把1张“羽风”卡加入手牌。
## Fethaerbreese Homing Instinct
n 羽风归巢本能
l0 归巢本能
t0 支付1点法力：从你的墓地把至多3只“羽风”怪兽返回手牌。
l1 顺风归巢
t1 改为支付1点法力：从你的墓地把2只“羽风”怪兽返回手牌；获得2点法力。
## Fethaerbreese Nest Egg
n 羽风巢中蛋
l0 巢中蛋
t0 每回合一次，怪兽从你的场上返回手牌时：抽1张卡。
l1 敲开它
t1 你可以把此卡送入墓地：获得2点法力。
## Fethaerbreese Nightjar
n 羽风夜鹰
l0 掩护鸟巢
t0 每回合一次：你可以支付1点法力；以对手控制的1只怪兽为目标；将其以里侧守备表示盖放。
## Fethaerbreese Nightmother
n 羽风夜母
l0 空气凝滞
t0 速攻·每回合一次：你可以支付2点法力；以对手控制的1张卡为目标；其效果无效，直到本回合结束。
## Fethaerbreese Stormfront
n 羽风风暴前线
l0 锋面
t0 此卡被召唤时：把对手控制的1只攻击力1500以下的怪兽返回持有者的手牌。
l1 十级狂风
t1 改为支付3点法力：无攻击力上限。
## Fethaerbreese Tailwind
n 羽风顺风
l0 顺风
t0 从你的手牌特殊召唤至多2只“羽风”怪兽。
l1 风暴增压
t1 改为支付2点法力：它们获得300攻击力，直到本回合结束。
## Fethaerbreese Two-in-the-Bush
n 羽风林中双鸟
l0 一鸟在手
t0 每回合一次：支付1点法力；把你控制的另1只“羽风”怪兽返回手牌；抽1张卡。
## Fethaerbreese Updraft
n 羽风上升气流
l0 上升气流
t0 支付2点法力：从你的卡组特殊召唤1只“羽风”怪兽。
## Fethaerbreese Windless Hour
n 羽风无风时刻
l0 无风时刻
t0 速攻·支付2点法力：以场上至多2只怪兽为目标；它们失去700攻击力，直到本回合结束。
## Fethaerbreese Windreader
n 羽风读风者
l0 解读气流
t0 此卡被召唤时：你可以把你控制的另1只“羽风”怪兽返回手牌；若如此做，抽1张卡。
l1 风向有利
t1 改为支付1点法力：另外获得1点法力。
## Fethaerbreese, the Held Breath
n 羽风·屏住的呼吸
s 你控制2只以上“费瑟微风”怪兽且墓地有5张以上的卡 — 支付4法力。
l0 屏息
t0 此卡被召唤时：以对手控制的1张卡为目标；其效果无效，直到本回合结束。
l1 万籁俱寂
t1 速攻·每回合一次：你可以支付2点法力；以对手控制的1张卡为目标；其效果无效，直到本回合结束。
## Fethaerbreese, the Homing Sky
n 羽风·归巢之空
s 你的墓地有4只以上怪兽。费用3点法力。
l0 天空唤你回家
t0 此卡被召唤时：把对手控制的1只怪兽返回持有者的手牌，然后你可以把你的1只怪兽返回手牌。
l1 乘风还巢
t1 支付2点法力：把你的1只怪兽返回手牌；抽1张卡。
## Fiendish Decree
n 恶魔敕令
l0 敕令
t0 破坏对手控制的1只怪兽。
l1 炼狱敕令
t1 破坏对手控制的至多2只怪兽。
## Fire Escape
n 逃生梯
l0 逃生梯
t0 每回合一次：把你控制的1只怪兽返回手牌。
l1 有序撤离
t1 改为支付2点法力：另外抽1张卡。
## Fireball
n 火球术
l0 火球术
t0 支付1点法力：对对手造成800点伤害。
l1 强化火球术
t1 支付2点法力；对对手造成1400点伤害。
## First and Last Word
n 最初亦是最后的话语
l0 最初亦是最后的话语
t0 每场决斗一次。支付2点法力：让对手在此连锁中最后发动的法术的发动无效。
## Five-Finger Discount
n 顺手牵羊
l0 手脚不干净
t0 支付4点法力：对手随机丢弃1张卡。
l1 顺手牵羊
t1 改为支付6点法力：随机翻开对手的1张手牌——是怪兽的场合，特殊召唤到你的场上；否则对手将其丢弃。
## Flame Whelp
n 烈焰幼崽
## Forgeheart Anvilborn
n 锻心铁砧之子
l0 锤炼
t0 你可以支付1点法力：以你控制的1只怪兽为目标；它永久获得300守备力。
## Forgeheart Apprentice-Piece
n 锻心学徒之作
l0 学徒跑腿
t0 此卡被召唤时：从你的卡组把1张“锻心”神器加入手牌。
l1 大师级交付
t1 改为支付2点法力：从你的卡组把1张“锻心”神器直接放置到你的神器区域。
## Forgeheart Bellows
n 锻心风箱
l0 稳定送风
t0 在你的准备阶段：你可以从卡组把1张“锻心”卡加入手牌。
l1 轰鸣鼓风
t1 你可以支付2点法力并把此卡送入墓地；从你的手牌特殊召唤1只2级“锻心”怪兽。
## Forgeheart Colossus
n 锻心巨像
l0 锻造流水线
t0 此卡被召唤时：你可以从你的手牌或墓地特殊召唤1只1级“锻心”怪兽。
l1 烬火装甲
t1 你可以支付2点法力：此卡获得700守备力，直到本回合结束。
## Forgeheart Crucible
n 锻心坩埚
l0 献祭合金
t0 每回合一次——支付2点法力：破坏你控制的另1张神器；你控制的1只怪兽永久获得400攻击力。
## Forgeheart Hammer
n 锻心巨锤
l0 掷锤
t0 把此卡送入墓地：对手控制的1只怪兽永久失去500攻击力。
## Forgeheart Ironclad Argument
n 锻心铁证
## Forgeheart Masterwork
n 锻心传世之作
l0 落款之作
t0 此卡被召唤时：你控制的1只怪兽永久获得300攻击力。
l1 大师系列
t1 改为支付3点法力：至多2只怪兽；各400。
## Forgeheart Quench
n 锻心淬火
l0 淬火
t0 支付1点法力：你控制的1只怪兽获得800守备力，直到本回合结束。
l1 回火
t1 改为支付2点法力：你控制的1只怪兽永久获得800守备力。
## Forgeheart Recast Order
n 锻心重铸令
l0 重铸令
t0 从你的墓地把1张神器直接放置到你的神器区域。
l1 加急订单
t1 改为支付2点法力：另外抽1张卡。
## Forgeheart Scrap Deal
n 锻心废料交易
l0 回炉
t0 支付1点法力：破坏你控制的1张神器；抽2张卡并获得1点法力。
l1 讨价还价
t1 改为支付1点法力：破坏你控制的1张神器；抽2张卡并获得2点法力。
## Forgeheart Smelter
n 锻心冶炼工
l0 投喂熔炉
t0 此卡被召唤时：从你的卡组把1张“锻心”神器送入墓地；抽1张卡。
l1 回收炉渣
t1 支付2点法力并从你的墓地放逐此卡：从你的墓地把1张神器加入手牌。
## Forgeheart Spare Parts
n 锻心备用零件
l0 备用零件
t0 每回合一次：从你的墓地把1张神器返回手牌。
l1 翻新改装
t1 改为支付3点法力：从你的墓地把1张神器直接放置到你的神器区域。
## Forgeheart Stoker
n 锻心司炉
l0 拨旺炭火
t0 此卡被召唤时：你可以从卡组把1张“锻心”卡加入手牌。
## Forgeheart Temper
n 锻心锻打
l0 锻打
t0 你控制的1只怪兽获得500攻击力，直到本回合结束。
l1 完美锻打
t1 改为支付3点法力：该加成变为永久，且该怪兽永久获得300守备力。
## Forgeheart Worldanvil
n 锻心世界铁砧
s 你控制2张以上神器。费用3点法力。
l0 敲响世界铁砧
t0 此卡被召唤时：从你的卡组把1张神器放置到场上。
## Forgeheart, the Molten Crown
n 锻心·熔融王冠
s 你控制2张以上神器且你的墓地有5张以上的卡。费用4点法力。
l0 炉渣加冕
t0 此卡被召唤时：从你的墓地把至多2张神器放置到场上。
l1 王室锻造
t1 支付3点法力：你控制的1只怪兽永久获得500攻击力。
## Frost Blade
n 霜刃
## Frost Nova
n 冰霜新星
l0 冻结
t0 支付1点法力；对手的1只怪兽永久失去500攻击力和500守备力。
## Frost Wolf
n 霜狼
## Gale Harpy
n 疾风鹰身女妖
l0 利爪俯冲
t0 此卡被召唤时：你可以让对手控制的1只怪兽永久失去300攻击力。
## Gaslight Charlatan
n 惑光江湖骗子
l0 袖中空无一物
t0 支付2点法力：此卡本回合不会成为对手效果的目标。
## Gaslight Curtain Call
n 惑光谢幕
l0 揭穿
t0 破坏对手控制的所有幻影衍生物；每破坏1只抽1张卡（至多3张）。
## Gaslight House Lights
n 惑光场灯
l0 场灯亮起
t0 在对手场上召唤1只幻影衍生物（0/0）；抽1张卡。
l1 刺眼聚光灯
t1 改为支付3点法力：召唤2只衍生物；抽2张。
## Gaslight Lanternist
n 惑光提灯人
l0 还记得这个吗？
t0 此卡被召唤时：在对手场上召唤1只幻影衍生物（0/0）。
l1 两个都记得吗？
t1 改为支付2点法力：召唤2只。
## Gaslight Mesmer
n 惑光催眠师
l0 击碎疑影
t0 每回合一次：破坏对手控制的1只幻影衍生物；抽1张卡。
l1 全部击碎
t1 改为支付2点法力：破坏至多2只；每破坏1只抽1张。
## Gaslight Mirrorwalk
n 惑光镜中行
l0 又来一个
t0 对手召唤怪兽时：在其场上召唤1只幻影衍生物（0/0）。
## Gaslight Now You See Me
n 惑光·看得见我
l0 看得见我
t0 你控制的1只“惑光”怪兽本回合不会成为目标。
l1 看不见了
t1 改为支付2点法力：另外在对手场上召唤1只幻影衍生物（0/0）。
## Gaslight Smoke Machine
n 惑光烟雾机
l0 迷雾入场
t0 每回合一次，对手召唤怪兽时：在其场上召唤1只幻影衍生物（0/0）。
l1 拨云见日
t1 支付2点法力：破坏1只幻影衍生物；抽1张卡。
## Gaslight Stage Hypnotist
n 惑光舞台催眠师
l0 你困了
t0 每回合一次：破坏对手控制的1只幻影衍生物；对手控制的1只怪兽永久失去300攻击力。
## Gaslight Understudy
n 惑光替补演员
l0 熟记台词
t0 此卡被召唤时：在对手场上召唤1只幻影衍生物（0/0）。
l1 遗作登台
t1 支付2点法力并从你的墓地放逐此卡：在对手场上召唤1只幻影衍生物。
## Gaslight Usher
n 惑光引座员
l0 这边请
t0 在对手场上召唤2只幻影衍生物（0/0）。
## Gaslight, Standing Ovation
n 惑光·全场起立
s 对手控制幻影衍生物——支付2点法力。
l0 安可
t0 此卡被召唤的场合：在对手场上召唤1只幻影衍生物（0/0）。
## Gaslight, the Grand Premiere
n 惑光·盛大首演
s 对手控制3只以上怪兽——支付3点法力。
l0 座无虚席
t0 此卡被召唤的场合：用幻影衍生物（0/0）填满对手的空怪兽区域。
l1 灯光暗下
t1 支付3点法力：破坏所有幻影衍生物；每破坏1只，对手控制的1只怪兽失去400攻击力。
## Gaslight, the Vanishing Act
n 惑光·消失魔术
s 对手控制2只以上怪兽，其中1只是幻影衍生物。费用3点法力。
l0 大消失
t0 此卡被召唤时：破坏对手控制的所有幻影衍生物；每破坏1只抽1张卡（至多3张）。
l1 空无一物的安可
t1 支付2点法力：在对手场上召唤1只幻影衍生物（0/0）；对手控制的1只怪兽失去400攻击力，直到本回合结束。
## Genostitched Apex Chimera
n 缝生顶点奇美拉
s 你控制装备着神器的怪兽。费用2点法力。
l0 移植逝者
t0 此卡被召唤时：从你的墓地把1张神器装备给此卡。
l1 顶点进化
t1 此卡装备着神器时，你可以支付2点法力：此卡永久获得400攻击力。
## Genostitched Donor List
n 缝生供体名单
l0 供体名单
t0 从你的卡组把1张神器加入手牌。
l1 优先供体
t1 改为支付3点法力：另外抽1张卡。
## Genostitched Dressed to Kill
n 缝生杀气着装
l0 杀手行头
t0 每回合一次，此卡装备着神器的场合：支付2点法力；此卡在本战斗阶段可以额外攻击一次。
## Genostitched Field Surgery
n 缝生战地手术
l0 战地手术
t0 从你的手牌把1张神器装备给你控制的1只怪兽；它获得300守备力，直到本回合结束。
l1 深度移植
t1 改为支付2点法力：该加成变为永久。
## Genostitched Fourth Arm
n 缝生第四臂
l0 加长触及
t0 每回合一次，装备的怪兽在战斗中破坏怪兽时：对手控制的1只怪兽永久失去300攻击力。
